dataset,category,seed,fallback_budget,fast_only_auroc,risk_auroc,random_auroc,fast_score_auroc,uncertainty_auroc,fast_only_recall,risk_recall,random_recall,fast_score_recall,uncertainty_recall,risk_delta,risk_recall_delta,risk_minus_fast_score,risk_minus_uncertainty,fallback_rate,fallback_count,total
MVTec,hazelnut,17,0.1,0.9178571428571428,0.9746428571428571,0.8103571428571429,0.9178571428571428,0.925,0.6714285714285714,0.8857142857142857,0.08571428571428572,0.6714285714285714,0.7,0.16428571428571426,0.7999999999999999,0.05678571428571433,0.0496428571428571,0.1,11,110
MVTec,leather,17,0.1,0.90625,1.0,0.8410326086956522,0.90625,0.9079483695652174,0.7391304347826086,1.0,0.10869565217391304,0.7391304347826086,0.75,0.15896739130434778,0.8913043478260869,0.09375,0.0920516304347826,0.10483870967741936,13,124
MVTec,metal_nut,17,0.1,0.7839687194525904,0.8958944281524927,0.7223851417399805,0.7839687194525904,0.7873900293255132,0.4946236559139785,0.7956989247311828,0.0967741935483871,0.4946236559139785,0.5161290322580645,0.17350928641251218,0.6989247311827956,0.11192570869990226,0.10850439882697949,0.10434782608695652,12,115
MVTec,pill,17,0.1,0.7515002727768685,0.7313147845062739,0.6901254773595199,0.7515002727768685,0.6925804691762139,0.3191489361702128,0.19148936170212766,0.09219858156028368,0.3191489361702128,0.09929078014184398,0.04118930714675395,0.09929078014184398,-0.02018548827059463,0.03873431533006,0.10179640718562874,17,167
MVTec,screw,17,0.1,0.5353556056568969,0.4875999180159869,0.5298216847714695,0.5378151260504201,0.5995080959212954,0.06722689075630252,0.10084033613445378,0.058823529411764705,0.09243697478991597,0.19327731092436976,-0.042221766755482615,0.04201680672268908,-0.050215208034433245,-0.11190817790530849,0.1,16,160
MVTec,tile,17,0.1,0.8867243867243867,0.9855699855699855,0.7723665223665224,0.8867243867243867,0.8867243867243867,0.6666666666666666,0.9642857142857143,0.08333333333333333,0.6666666666666666,0.6666666666666666,0.21320346320346317,0.8809523809523809,0.09884559884559885,0.09884559884559885,0.10256410256410256,12,117
MVTec,toothbrush,17,0.1,0.9722222222222222,0.9722222222222222,0.9027777777777778,0.9722222222222222,0.9722222222222222,0.9,0.9,0.1,0.9,0.9,0.06944444444444442,0.8,0.0,0.0,0.11904761904761904,5,42
MVTec,transistor,17,0.1,0.8425,0.82375,0.7895833333333333,0.8425,0.7995833333333333,0.475,0.275,0.1,0.475,0.075,0.03416666666666668,0.17500000000000002,-0.018750000000000044,0.02416666666666667,0.1,10,100
MVTec,wood,17,0.1,0.7508771929824561,0.9798245614035088,0.7043859649122807,0.7508771929824561,0.7517543859649123,0.43333333333333335,0.8833333333333333,0.1,0.43333333333333335,0.45,0.27543859649122815,0.7833333333333333,0.22894736842105268,0.22807017543859653,0.10126582278481013,8,79
MVTec,zipper,17,0.1,0.9283088235294118,0.9012605042016807,0.8563550420168067,0.9283088235294118,0.9086134453781513,0.7647058823529411,0.7310924369747899,0.1092436974789916,0.7647058823529411,0.7478991596638656,0.04490546218487401,0.6218487394957983,-0.027048319327731107,-0.007352941176470562,0.10596026490066225,16,151
MVTec,bottle,29,0.1,0.9444444444444444,0.9801587301587301,0.9103174603174603,0.9444444444444444,0.9444444444444444,0.6984126984126984,0.9365079365079365,0.12698412698412698,0.6984126984126984,0.6984126984126984,0.06984126984126982,0.8095238095238095,0.0357142857142857,0.0357142857142857,0.10843373493975904,9,83
MVTec,cable,29,0.1,0.8000374812593704,0.849887556221889,0.7475637181409296,0.8000374812593704,0.7921664167916042,0.33695652173913043,0.6630434782608695,0.10869565217391304,0.33695652173913043,0.2608695652173913,0.10232383808095946,0.5543478260869564,0.0498500749625187,0.057721139430284896,0.1,15,150
MVTec,capsule,29,0.1,0.7391304347826086,0.7112086158755485,0.680893498205026,0.7391304347826086,0.6306342241723175,0.25688073394495414,0.3394495412844037,0.08256880733944955,0.25688073394495414,0.08256880733944955,0.03031511767052253,0.25688073394495414,-0.027921818907060136,0.080574391703231,0.10606060606060606,14,132
MVTec,carpet,29,0.1,0.5377207062600321,0.9101123595505618,0.5308988764044944,0.5401284109149278,0.5830658105939005,0.056179775280898875,0.8651685393258427,0.11235955056179775,0.07865168539325842,0.16853932584269662,0.3792134831460674,0.752808988764045,0.369983948635634,0.3270465489566613,0.10256410256410256,12,117
