seed,category,n_fit,n_validation,n_test,target_fallback_count,actual_fallback_count,actual_fallback_rate,threshold,fast_only_auroc,fast_only_recall_at_fpr,random_fallback_auroc,random_fallback_recall_at_fpr,risk_fallback_auroc,risk_fallback_recall_at_fpr,full_only_auroc,full_only_recall_at_fpr
41,cable,179,45,150,110,110,0.7333333333333333,0.08169486373662949,0.7991004497751124,0.18478260869565216,0.7666791604197901,0.6413043478260869,0.9147301349325337,0.8043478260869565,0.9891304347826086,0.8913043478260869
41,capsule,175,44,132,100,100,0.7575757575757576,0.031600053422152996,0.7367371360191464,0.22935779816513763,0.7925807738332669,0.3761467889908257,0.8372556840845632,0.45871559633027525,0.9042680494615077,0.48623853211009177
41,carpet,224,56,117,95,95,0.811965811965812,0.06425033137202263,0.528892455858748,0.056179775280898875,0.8254414125200642,0.7752808988764045,0.880016051364366,0.8539325842696629,0.9731139646869984,0.9325842696629213
41,grid,211,53,78,25,25,0.32051282051282054,0.11475492268800735,0.518796992481203,0.10526315789473684,0.4594820384294068,0.08771929824561403,0.5513784461152882,0.17543859649122806,0.8153717627401837,0.3684210526315789
41,hazelnut,313,78,110,72,72,0.6545454545454545,0.08555966429412365,0.9160714285714285,0.6714285714285714,0.7996428571428571,0.6857142857142857,0.9432142857142857,0.8428571428571429,0.9992857142857143,0.9857142857142858
41,leather,196,49,124,124,124,1.0,0.0570782832801342,0.8936820652173914,0.6521739130434783,1.0,1.0,1.0,1.0,1.0,1.0
41,metal_nut,176,44,115,85,85,0.7391304347826086,0.0636757630854845,0.7932551319648093,0.41935483870967744,0.7653958944281525,0.6774193548387096,0.8734115347018573,0.8064516129032258,0.9711632453567938,0.9354838709677419
41,pill,214,53,167,103,103,0.6167664670658682,0.05842617154121399,0.7842334969994544,0.3120567375886525,0.5930169121658483,0.3617021276595745,0.8153300600109111,0.6524822695035462,0.845608292416803,0.5460992907801419
41,screw,256,64,160,107,107,0.66875,0.05931703560054302,0.4638245542119287,0.008403361344537815,0.6208239393318303,0.25210084033613445,0.5857757737241238,0.31092436974789917,0.6989137118261939,0.36134453781512604
41,tile,184,46,117,87,87,0.7435897435897436,0.0879826545715332,0.902958152958153,0.7261904761904762,0.8358585858585859,0.7619047619047619,0.9336219336219336,0.8928571428571429,0.9985569985569985,0.9880952380952381
41,toothbrush,48,12,42,34,34,0.8095238095238095,0.04016538616269827,0.9722222222222222,0.8666666666666667,0.8027777777777778,0.6666666666666666,0.95,0.8333333333333334,0.9416666666666667,0.8333333333333334
41,transistor,170,43,100,47,47,0.47,0.06090589612722397,0.8454166666666667,0.525,0.7241666666666666,0.45,0.8720833333333333,0.725,0.9604166666666667,0.8
41,wood,198,49,79,79,79,1.0,0.09292397648096085,0.7666666666666667,0.45,0.9815789473684211,0.8833333333333333,0.9815789473684211,0.8833333333333333,0.9815789473684211,0.8833333333333333
41,zipper,192,48,151,118,118,0.7814569536423841,0.05947405193001032,0.9138655462184874,0.7394957983193278,0.7883403361344538,0.7310924369747899,0.9406512605042017,0.8991596638655462,0.9808298319327731,0.7983193277310925
